name
Panadol advance caplets * 100s
Ibuprofen tablets 400mg 10*s (gofen)
Hedex caplets 100s
Buscopan plus tablets *40s
Cipladon 1000mg tablets 8*s
Myospaz tablets 100s
Zulu mr
Rilif plus
Xykaa tablets
Zofen cz
Ecofree 90mg tablets 10s
Etorix 60mg Tablets 40s
Etorix 120mg Tablets 20s
Etorix 90mg tablets 30s
Fastum gel 30
Beecox mr Tablets 10s
Fevastin 1000mg effervescent tablets 8s
Etr-mr tablets10s(etorcoxib+thiolchicoside)
Panadol extra 20s
Biofreeze gel
Deep relief gel 30g
Dynapar qps spray 30mls
Stednac gel 30g
Rilif mr tablets
Neorelax a tablets
Acepar SP 10s
Zyrtal sp
Kaluma lozonges 100s
Efferalgan 1000mg tablets
Doloxia 120mg Tablets 10s
Deep heat spray  150ml
Pulmocef 500mg tablets 10s
Augmentin 625mg
Augmentin 1g
Zithromax 500mg *3s
Zithrox 500mg Tablets 3s 
Zinnat 500mg Tablets 10s
Augmentin bd syrup 228mg
Augmentin bd syrup 457mg
Zinnat 125mg/5ml 100ml
Rifaxa 550mg tablets 10s
AUGMENTIN ES 642.9MG/5ML SYRUP
Zinnat 250mg tablets 10s
Ciprobay 500mg Tablets 10s
Fosmol 3000mg Satchet 2s
Atm 500mg 3s
Flucloxacillin 500mg
Ciprofloxacin 500mg
Doxycycline 100mg
Metronidazole 400mg tablets
Ojen oz tablets
Lonart DS tablets 6s
Malanil paed tablets
Artequick tablets
Amoxil forte 500mg
Amoxil forte 250mg/5ml suspension
Amoxil forte 125mg/5ml suspension
Cipro-t tablets
Flutrox 200mg
Fluconazole 200mg 10s(fc-zole)
Griseofulvin 250mg tablets
Griseofulvin 500mg tablets
Terbinaforce 250mg tablets
Terbiswift 250mg tablets 14s
Itacare 200mg
Itacon 100mg Tablets 10s
Itacon 200mg Tablets 10s
Canditral 100mg
Strepsils regular 50*2s
Ascoril Dry Cough syrup 100ml
Piriton expectorant linctus 100ml
Piriton syrup 100ml
Zyrtec syrup 75ml
Panadol cold n flu
Lemsip cold and flu lemon sachets
Lemsip max honey and ginger
Ambrox syrup 100ml
Mucosolvan Syrup 100ml
Glykoff syrup 120ml
Ascoril Expectorant 200ml
Htc herbigor syrup 100ml
Ascoril Expectorant 100ml
Flucoldex tablets
Strepsils vit c and orange tablets
Xylolin adult nasal spray
Momate nasal spray
Momate az nasal spray
Flona nasal spray
Xylolin child nasal spray
Eugica cold and flu lozenges
Eno cal antacid tablets 100*s
Eno lemon *48s
Nexium 40mg Tablets 14s
Pantocid 40mg
Relcer gel 180ml
Nilacid suspensionension 100ml 
Gaviscon peppermint 150ml suspension
Nexium 20mg tablets
Esomezol 20mg tablets
Esomezol 40mg tablets 30s
Gastroplus tablets
Robidorm sr
Esofag D tablets 30s
Esofag kit
Esofag 20mg
Esose 20mg Tablets 10s
Esose 40mg Tablets 30s
Esomod 20mg
Lorabil plus tablets 30s
Esopride 20mg tablets
Ranferon tablets *30
Ranferon sp 200ml
Osteocare plus joint(glucosamine&chondroitin) tablets 60s
Webbers Natural melatonin 3mg tablets 90s
MELATONIN 5mg TAB 60s
Wn melatonin10mg/magnesium 150mg tablets 60s
Osteocare tablets *30
Ideos chewable tablets 30s
Enterogermina vials 5ml 10s
Sara d3 60,000iu 4s(vit d3)
Osteocare plus omega & soy 84s
Zedcal oral suspensionension 200ml
Zedcal tab*30s
Orthoflex tablets 30s
Ifas tablets 30s
Ceregard 90mg tablets 10s
Ceregard plus 60/750mg tablets 10s
Ceregard forte tablets 10s
Saracal m tablets 10*s
Saracal tablets 30*s
Cartil forte tablets 30s
Bonium tablets 30s
Tot hema oral solution 20s
Livolin forte tablets 30s
Nutrimom gummies 30s
Well kid multivitamin 150ml
Vitamin c 1000mg tablets 20*s (glencee)
Saferon syrup 150ml
Saferon plus tablets 30s
Avalife femiflora tablets 30s
Urikind km satchets 5gm 6s
Floranorm sachets 10s
Invel pro tabletsules 30s
Floralink sticks 10s
Biogaia protectis chewable tablets lemon 10s
Lambert coq10 200mg tablets 60s
GG magnesium bisglycinate 200mg 90s
Epimol b plus cream l 450g
Epimol b baby & junior cream 450g
Epimol b all purpose cream 450g
Epimol e soap 100g
Epimax baby and junior 400gms
Epimax all purpose moistuiser 400g
Oatveen eczema mosturing cream 400ml
Oatveen eczema cream 150ml
La Roche-Posay cicaplast baume b5+ 100ml
La roche posay anthelios shaka spray spf 50+ 200ml
La Roche-Posay anthelios kids spray spf 50+ 200ml
La Roche-Posay anthelios ultra face uvmune spf 50+50ml sunscreen
Cerave hydrating cleanser 236ml
Cerave foaming cleanser 236ml
La Roche-Posay effaclar cleanser 200ml
Oilatum soap bar 100gm
Natural enat vit e cream 50gm
La roche posay anthelios gentle lotion kids sunscreen spf 50
La Roche-Posay Baby Routine Kit 3 in 1
La Roche-Posay anthelios lotion eco spf 50+ 250ml
La Roche-Posay lipikar baume ap+m 400ml
Uveelite sunscreen spf 30+ lotion 100ml
Adclear-acne clear face wash 60g
Mebo scar ointment 30g
Mebo herbal ointment 30g
Dermol emollient cream 50g
Ketoplus shampoo 120ml
Scabion lotion 60ml
Hitoral shampoo 100ml
