standardized_name
La Roche Posay lipikar baume ap+m 400ml
Uveelite sunscreen spf 30+ lotion 100ml
Adclear Face wash 60g
Mebo  Ointment 30g
Mebo Ointment 30g 
Dermol  Cream 50g
Ketoplus shampoo 120ml
Scabion lotion 60ml
Hitoral shampoo 100ml
Candid tv suspension 60ml
Beclomin Ointment 15g 
Mometasone cream 15g 
Mometasone Ointment 15g 
Intamine Cream 25g 
Silver sulphadiazine Cream
Dermazine Cream 50g 
Shalina Cream 15g 
Betason Cream 15g 
Candid B Cream 30g 
Candid B Cream 15g 
Candid Cream 20g 
Pernex ac 5% Gel 20g 
Ketoconozale Cream 20g 
Elycort 15g cream
Elycort cream 15g 
Terbisil Cream 15g
Diprosalic Ointment 30g 
Diprosalic Ointment 30g 
Elcom Ointment
Xtraderm  Cream 20 g 
Zupricin B Ointment 15g 
Zupricin  Ointment 15g
Klenzit c Gel 15g 
Glucose 10g 1s
Hydrogen peroxide 200ml
Protoglove powdered Latex gloves medium 100s
SemperCare powder free Latex gloves medium 100s
Surgical spirit 100ml
Betadine antiseptic solution 125ml
Crepe bandages 3 inch
Crepe bandages 6 inch
Elastoplast 100s
Primapore 20cm x 10cm 20s
Cotton Wool 200g
Cotton Wool 400g
Cotton Wool 100g
Cetrimide 3%/ 0.3% solution 250ml
Antiseptic solution 100ml
Calamine lotion 100ml
Cotton Balls 20s
Opsite spray 100ml
Biogras 10cm x 40cm 10s
Treviamet 500mg Tablets 35s
Glucomet 500mg Tablets 56s
Amaryl M 2mg Tablets 30s
Empiget 10mg Tablets 14s
Empiget M 1000mg Tablets 14s
Empiget 25mg Tablets 14s
Glucophage 1g Tablets 60s
Treviamet 1000mg Tablets 35s
Galvusmet 1000mg Tablets 30s
Hydralazine 25mg Tablets 100s
Avas 20mg Tablets 30s
Amlodipine 10mg Tablets 30s
Concor 5mg Tablets 30s
Amlosun 10mg Tablets 30s
Nebilong 5mg Tablets 30s
Avastatin 20mg Tablets 28s
Amlozaar 50mg Tablets 30s
AERIUS 5mg Tablets 30s
L Montus adult 10mg  Tablets 10s
L Montus Kids 10mg  Tablets 10s
Destrex 5mg Tablets 10s
Clarinase 120mg Tablets 14s
Prednisolone 5mg Tablets 100s
Clarityne 10mg tablets 10s
Clarityne syrup 100ml
Xyzal 10mg Tablets 30s
Zyrtec 10mg Tablets 30s
Dynacort 6mg Tablets 30s
Dynacort 12mg Tablets 30s
Dynacort 18mg Tablets 30s
Dazit 5mg Tablets 30s
Celabet 2mg tablets 30s
Montiget 5mg Tablets 14s
Montiget 10mg Tablets 14s
Montiget 4mg granules 14s
Montallerg 10mg Tablets 20s
Folic acid 5mg Tablets 28s
Pregnacare Tablets 30s
VITABIOTICS Tablets 30s
Pregnacare Tablets 56s
VITABIOTICS Tablets 84s
Nan 0 - 6 Months Powder 400g
Nan 6 - 12 Months Powder 400g
Nan 12+ Months Powder 400g
Bonnisan liquid 120ml
Wellbaby vitamin d drops 30ml
Biogaia protectis baby drops with vitamin d3 5ml
BioGaia AB protectis drop gut comfort 5ml
Bepanthen Ointment 30g 
Sudo cream 125gm
Zinc & castor cream 500g
Bennets baby bar soap 100gm
Bennetts baby bum cream 150gm
Bennetts nipple cream 50ml
Huggies diapers size 4 (8-14kgs) 8s
Pampers diapers 2
NIVEA for men roll on 50ml
Yasmin 30mcg Tablets 21s
Kly jelly lube 42g
Femiplan tablets 28s
Talgentis 5mg tablets  30s
Kotex pads duo super 16s
Kotex tampons normal 16s
Kotex tampons super 16s
Kotex tampons mini 16s
Kotex panty liners 20s
Always ultra thin pads long 7s
Always ultra sanitary pads long 16s
Always maxi thick extra long 7s
Always panty liners normal 20s
Trust Classic Condoms 3s
Trust Condoms Studded 3s
Trust Condoms Ribbed 3s
Durex fetherlite ultra 3s
Allergo 2% Drops 10ml
Probeta-n Drops 5ml
Tears naturale drops 15ml
Gentamicin eye drops 10ml
Maxitrol eye drops 5ml
Tetracycline 1% eye  Ointment
Otorex ear Drops 10ml
Softdrops 10ml
Ceprolen -d drops 10ml
Ceprolen Drops 5ml
Optive eye drops 10ml
Aurosol drops 10ml
Digital thermometer
On Call plus stips 50s
Erovita blood lancets 100s
Infrared thermometer
Pulse oximeter
Laborex Pregnancy test kits 50s
Hiv test kit
Ventolin evohaler 200 doses
Foralin 400 mcg Inhaler 120 doses
Foralin  100mcg inhaler 120doses
Foralin  200mcg inhaler 120doses
Formonide 200mcg inhaler 120doses
Aerovent 20mcg inhaler 200doses
Betadine mouthwash 125ml
Andolex c oral rinse mouthwash 200ml
Andolex-c spray 30ml
Remidin mouthwash 100ml
Hc dine mouthwash 100ml
Peardine mouthwash 100ml
Colgate double action toothbrush 
Betadine mouthwash 250ml
Bonjela Gel Adult 15g 
Sensodyne rapid action 75ml
Touch and go solution 7ml
Dentinox teething Gel 10g 
Dentogel adult gel 10g
Listerine Total Care Mouthwash 250ml
Listerine cool mint mouthwash 250ml
BLISTEX INTENSIVE MOISTURISER SPF 10+ 5g 
Ashton & Parsons powder 20s
Allucid syrup 100ml
Esofag 40mg Tablets 30s
Flatameal -ds suspension 200ml
Flatameal ds tablets 200s
Gaviscon double action 150ml
Omepraglob 20mg tablets 100s
Relcer gel 100ml
Acnesol  Cream 25g
Donecept 5mg Tablets 30s
Acinet 625mg tablets 10s
C-clav 125mg Tablets 10s
Acinet 1000mg Tablets 10s
Acinet 457mg  suspension 100ml
Unimox 500mg tablets 100s
Caremox 500mg Tablets 100s
Ampiclo-Dawa 500mg tablets 100s 
Clariz 500mg Tablets 10s
Cosatrim DS 960mg Tablets 100s
Diracip m ds 900mg Tablets 15s
Gabracin powder 10g
Levofloxacin 750mg Tablets 10s
Moxacil ds 125mg Syrup 5ml
Gripe water 100ml
 Amitriptyline 25mg Tablets 100s
Glucomet XR 1000mg Tablets 30 tab
Glucophage 1000mg Tablets 60s
Glucophage 850mg  tablets 60s
Glucophage 500mg Tablets 90s
Coramide 2mg tablets 6s
Emitino 4mg Tablets 10s
Emitino 8mg Tablets 10s
Metcos 10mg tablets 10s
Flutrox 150mg capsules 10s
Nystal oral drops 30ml
Daflon 500mg Tablets 30s
Cetrizine 10mg tablets 100s
Piricet Syrup 60ml 
Glemont l 10mg Tablets 7s
Levolukast 10mg Tablets 30s
Piriclor 2mg Syrup 60ml
Promethazine 25mg Tablets 100s
Histagan syrup 60ml
Stugeron 25mg Tablets 50s
Amlozaar h 5mg tablets 30s
Ascard 75mg Tablets 30s
Atorid 20mg tablets 30s
Aztor 10mg Tablets 50s
Aztor 20mg Tablets 50s
Diuride 10mg Tablets 20s
Epnone 25mg Tablets 30s
Hydrochlorothiazide 25mg Tablets 100s
Hydrochlorothiazide 50mg Tablets 100s
Natrilix sr 1.5mg Tablets 30s
Nebilong AM 5mg Tablets 10s
Nifelat R 20mg tablets 100s
Ontel 80 trio tablets 30s
Rovista 5mg tablets 30s
Lasix 40mg Tablets 30s
Rovas 10mg Tablets 30s
Abz 400mg Syrup 10ml
Zentel suspension 20ml
Cyclovir 400mg Tablets 30s
Cypro B plus Syrup 200ml
Allopurinol 300mg tablets 30s
Omaeraplast  adhesive tape 1s
Cartimove -d Tablets 10s
Cartimove tablets 30s
Microgynon Tablets 21s
Microgynon-fe tablets 28s
Postinor 0.75Mg Tablet 1s
Steron 5mg Tablets 100s
Benylin dry cough 100ml
Abnal saline drops 10ml
Coldcap tablets 12s
Flugone tablets 10s
Otrivin adult Drops 10ml
Orasol (o.r.s) powder 50s
Apdrop 0.5% Drops 5ml
Ciprocent opthalmic ointment
Crepe bandage 4 inch
Sureplast Elastoplast 100s
Dulcolax 5mg Tablets 30s
Lactulac solution 200ml
Lactulac solution 100ml
Strepsils honey & lemon lozenges 50s
Bispanol elixir syrup 60ml
Buscopan 10mg Tablets 50s
Cyclopam p tablets 20s
Hyoscine 10mg Tablets 100s
Pronerve nt tablets 10s
Cerelife CAPSULES 30S
Brufen Syrup 5ml
Brustan suspension 100ml
Brustan 400mg Tablets 10s
Celcoxx 200mg tablets 50s
Rufenac  Gel 20g
Diclomol-sr 100mg Tablets 100s
Ecoxx 120mg Tablets 30s
Meftal forte 500mg  tablets 20s
Melcam 15mg Tablets 20s
Melcam 7.5mg Tablets 100s
Caroxicam 20mg Tablets 100s
Ponstan Forte 500mg Tablets 50s
Scotts Emulsion Orange syrup 100ml
Betapyn Tablets 18s
Domadol 50mg Tablets 10s
Calpol Infant Suspension 100ml
Cetamol Syrup 60ml
Cetamol SP Syrup 100ml
Panadol Baby & Infant Suspension 100ml
Panadol Children 5-12 years Suspension 100ml
Panadol Extra Tablets 100s
Curamol 500mg Tablets 100s
Novogermina Vials 10s
Disposable Face Mask 100s
Dawasolone 5mg/5ml Oral Solution 60ml
Olco Cream 15 g
Prednicure Forte 15mg/5ml Syrup 50ml
Predsol Forte Syrup 60ml
Cosmos Prednisone 5mg Tablets 100s
Adol 125mg Suppositories 10s
Euthyrox 100 mcg Tablets 30s
Euthyrox 50 mcg Tablets 30s
Etoflam Gel 50 g
Deep Freeze Cold Spray 150ml
Fastum Gel 50mg
Cital Syrup 100ml
Gynovast Kit 4s
Kotex Ultra Sanitary Pads Long 8s
Aziflam 500mg Tablets 3s
Tynor Compression stocking mid thigh large
Tynor Compression stocking mid thigh xl
Tynor Compression stocking below knee medium size
Tynor Compression stocking below knee large
Tynor Compression stocking below knee xl
Bonjela Teething Gel (Child) 15 g
Valus SP Tablets 10s
Cotton wool balls 100g 
Vitamin D3 60,000 IU Capsules 1s
Finosin Tablets 30s
Abidec Drops 25ml
Abz 400mg Tablets 1s
Accu-Chek Instant Strips 50s
Alzolam 0.25mg Tablets 100s
Alzolam 0.5mg Tablets 100s
Fastum Gel 100g
Acetylcysteine 600mg Tablets 30s
Tetracycline Skin Ointment 15g
Tcin 500mg Tablets 3s
